Player Name,Club,Goals_Percentile,Shots_Percentile,Shots_On_Target_Percentile,Conversion_Percentile,Attacking_Percentile
Kevin Schade,Brentford,20.158730158730158,86.34920634920636,23.174603174603174,28.57142857142857,39.56
Nathan Broadhead,Ipswich Town,62.53968253968254,42.857142857142854,23.174603174603174,28.57142857142857,39.29
Adam Wharton,Crystal Palace,20.158730158730158,42.857142857142854,64.76190476190476,28.57142857142857,39.09
Mason Mount,Manchester United,48.888888888888886,54.920634920634924,23.174603174603174,28.57142857142857,38.89
João Félix,Chelsea,48.888888888888886,54.920634920634924,23.174603174603174,28.57142857142857,38.89
Fábio Carvalho,Brentford,62.53968253968254,40.476190476190474,23.174603174603174,28.57142857142857,38.69
Wilfred Ndidi,Leicester City,20.158730158730158,57.61904761904761,48.25396825396825,28.57142857142857,38.65
Jack Taylor,Ipswich Town,48.888888888888886,53.01587301587302,23.174603174603174,28.57142857142857,38.41
Michail Antonio,West Ham United,48.888888888888886,53.01587301587302,23.174603174603174,28.57142857142857,38.41
Tom Cairney,Fulham,62.53968253968254,38.095238095238095,23.174603174603174,28.57142857142857,38.1
Yves Bissouma,Tottenham Hotspur,62.53968253968254,38.095238095238095,23.174603174603174,28.57142857142857,38.1
Harvey Elliott,Liverpool,48.888888888888886,50.0,23.174603174603174,28.57142857142857,37.66
Conor Chaplin,Ipswich Town,48.888888888888886,48.41269841269841,23.174603174603174,28.57142857142857,37.26
Patson Daka,Leicester City,48.888888888888886,46.666666666666664,23.174603174603174,28.57142857142857,36.83
Jack Grealish,Manchester City,48.888888888888886,46.666666666666664,23.174603174603174,28.57142857142857,36.83
Lucas Bergvall,Tottenham Hotspur,20.158730158730158,40.476190476190474,57.61904761904761,28.57142857142857,36.71
Danny Ings,West Ham United,48.888888888888886,44.761904761904766,23.174603174603174,28.57142857142857,36.35
Crysencio Summerville,West Ham United,48.888888888888886,44.761904761904766,23.174603174603174,28.57142857142857,36.35
Rodrigo Gomes,Wolverhampton Wanderers,62.53968253968254,30.476190476190478,23.174603174603174,28.57142857142857,36.19
Kasey McAteer,Leicester City,48.888888888888886,42.857142857142854,23.174603174603174,28.57142857142857,35.87
Wilson Odobert,Tottenham Hotspur,48.888888888888886,42.857142857142854,23.174603174603174,28.57142857142857,35.87
Luis Sinisterra,Bournemouth,48.888888888888886,42.857142857142854,23.174603174603174,28.57142857142857,35.87
Evan Ferguson,West Ham United,48.888888888888886,40.476190476190474,23.174603174603174,28.57142857142857,35.28
Reiss Nelson,Fulham,48.888888888888886,40.476190476190474,23.174603174603174,28.57142857142857,35.28
Hwang Hee-Chan,Wolverhampton Wanderers,62.53968253968254,26.031746031746035,23.174603174603174,28.57142857142857,35.08
Brajan Gruda,Brighton & Hove Albion,48.888888888888886,38.095238095238095,23.174603174603174,28.57142857142857,34.68
Ramón Sosa,Nottingham Forest,48.888888888888886,38.095238095238095,23.174603174603174,28.57142857142857,34.68
Boubacar Kamara,Aston Villa,48.888888888888886,35.87301587301587,23.174603174603174,28.57142857142857,34.13
Justin Devenny,Crystal Palace,48.888888888888886,35.87301587301587,23.174603174603174,28.57142857142857,34.13
Taiwo Awoniyi,Nottingham Forest,48.888888888888886,35.87301587301587,23.174603174603174,28.57142857142857,34.13
Idrissa Gueye,Everton,20.158730158730158,63.01587301587301,23.174603174603174,28.57142857142857,33.73
Diego Gómez,Brighton & Hove Albion,48.888888888888886,33.49206349206349,23.174603174603174,28.57142857142857,33.53
Nico González,Manchester City,48.888888888888886,33.49206349206349,23.174603174603174,28.57142857142857,33.53
Ross Stewart,Southampton,48.888888888888886,33.49206349206349,23.174603174603174,28.57142857142857,33.53
André,Wolverhampton Wanderers,20.158730158730158,35.87301587301587,48.25396825396825,28.57142857142857,33.21
Bobby De Cordova-Reid,Leicester City,48.888888888888886,30.476190476190478,23.174603174603174,28.57142857142857,32.78
Will Smallbone,Southampton,48.888888888888886,30.476190476190478,23.174603174603174,28.57142857142857,32.78
Matheus França,Crystal Palace,48.888888888888886,28.41269841269841,23.174603174603174,28.57142857142857,32.26
Daniel Jebbison,Bournemouth,48.888888888888886,26.031746031746035,23.174603174603174,28.57142857142857,31.67
William Osula,Newcastle United,48.888888888888886,23.65079365079365,23.174603174603174,28.57142857142857,31.07
Tyrique George,Chelsea,48.888888888888886,21.26984126984127,23.174603174603174,28.57142857142857,30.48
Lewis Miley,Newcastle United,48.888888888888886,21.26984126984127,23.174603174603174,28.57142857142857,30.48
