Player Name,Club,Appearances,Minutes,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Craig Dawson,Wolverhampton Wanderers,15,969,0.0,0.0,0.46,0.74,0.0,63.07,112.48,100.87,0.28,0.09,17.09,13.47,0.37,31.58,19.04,8.36,0.0,4.74,1.95,0.28,1.39,7.15,4.37,6.41,3.9,0.0
Dan Bentley,Wolverhampton Wanderers,2,180,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Podence,Wolverhampton Wanderers,2,46,0.0,0.0,1.96,0.0,0.0,46.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agbadou,Wolverhampton Wanderers,16,1411,0.06,0.0,0.45,1.28,0.0,76.61,113.41,94.98,2.87,0.57,42.74,31.83,0.89,26.47,11.55,9.95,0.26,5.68,0.83,0.45,1.91,18.69,9.18,3.06,0.96,0.0
Gonçalo Guedes,Wolverhampton Wanderers,29,987,0.18,0.36,2.46,0.09,0.55,47.87,51.34,43.59,0.46,0.09,8.75,6.66,0.09,7.11,2.37,4.83,1.64,0.27,1.19,0.82,1.46,8.39,4.65,1.64,1.0,0.0
Hwang Hee-Chan,Wolverhampton Wanderers,21,650,0.28,0.0,0.69,0.0,0.0,40.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.38,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
Jean-Ricner Bellegarde,Wolverhampton Wanderers,35,1681,0.11,0.37,1.18,0.43,0.11,49.47,56.48,43.96,0.64,0.27,14.51,9.05,0.48,8.3,3.48,8.25,1.55,0.91,2.25,0.96,2.09,7.87,4.12,4.6,2.41,0.0
João Gomes,Wolverhampton Wanderers,36,2987,0.09,0.0,1.05,0.42,0.06,64.9,30.43,25.49,0.48,0.09,11.33,8.8,0.21,7.74,3.77,4.49,1.54,0.96,0.69,0.21,3.5,7.92,3.22,3.22,1.78,0.0
Jørgen Strand Larsen,Wolverhampton Wanderers,35,2599,0.0,0.0,1.87,1.0,0.45,27.46,23.55,19.08,1.84,0.42,13.99,10.98,0.17,9.52,5.75,2.7,1.18,1.0,0.48,0.0,0.35,7.69,3.19,1.25,0.28,0.0
José Sá,Wolverhampton Wanderers,29,2609,0.0,0.0,0.0,0.0,0.0,37.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.66
Mario Lemina,Wolverhampton Wanderers,17,1363,0.07,0.2,1.19,0.46,0.07,56.39,13.27,9.77,0.66,0.2,4.29,2.51,0.07,2.77,1.52,2.31,0.73,3.24,0.4,0.07,3.37,5.41,2.44,3.5,1.91,0.0
Marshall Munetsi,Wolverhampton Wanderers,14,1079,0.17,0.08,1.84,1.42,0.42,32.7,115.86,100.68,2.92,0.5,63.14,51.05,2.09,44.37,22.6,8.09,1.0,1.42,0.5,0.0,2.0,14.35,5.59,1.25,0.67,0.0
Mateus Mané,Wolverhampton Wanderers,1,1,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Cunha,Wolverhampton Wanderers,33,2600,0.52,0.21,3.81,0.14,0.07,60.54,37.35,33.16,1.38,0.31,15.27,12.88,0.1,10.04,5.43,2.42,1.9,0.66,0.52,0.14,1.32,5.19,2.53,1.21,0.52,0.0
Matt Doherty,Wolverhampton Wanderers,30,2113,0.09,0.04,0.43,0.3,0.0,67.21,15.33,12.74,0.6,0.13,5.71,4.05,0.09,3.41,1.7,1.24,0.21,4.05,0.55,0.13,1.62,2.94,1.53,0.6,0.26,0.0
Nasser Djiga,Wolverhampton Wanderers,5,65,0.0,0.0,0.0,0.0,0.0,83.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nélson Semedo,Wolverhampton Wanderers,34,2891,0.0,0.12,0.56,0.28,0.03,56.57,28.86,25.31,0.19,0.06,9.12,7.47,0.22,4.14,1.93,3.55,0.65,2.62,0.9,0.37,1.93,6.1,3.33,1.56,0.84,0.0
Pablo Sarabia,Wolverhampton Wanderers,23,805,0.34,0.0,1.9,0.0,0.56,65.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.78,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0
Pedro Lima,Wolverhampton Wanderers,3,70,0.0,0.0,1.29,0.0,0.0,66.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0
Rayan Aït-Nouri,Wolverhampton Wanderers,37,3127,0.12,0.2,1.04,0.09,0.09,66.63,21.38,18.91,0.52,0.03,5.58,4.37,0.12,3.48,1.53,1.9,1.35,1.9,0.37,0.14,2.56,1.61,0.78,0.95,0.69,0.0
